,Year,Country,Gold,Silver,Bronze,Medal
74,2021.0,Malaysia,0,1.0,1.0,2.0
75,2021.0,Nigeria,0,1.0,1.0,2.0
76,2021.0,Bahrain,0,1.0,0.0,1.0
77,2021.0,Saudi Arabia,0,1.0,0.0,1.0
78,2021.0,Lithuania,0,1.0,0.0,1.0
79,2021.0,North Macedonia,0,1.0,0.0,1.0
80,2021.0,Namibia,0,1.0,0.0,1.0
81,2021.0,Turkmenistan,0,1.0,0.0,1.0
82,2021.0,Kazakhstan,0,0.0,8.0,8.0
83,2021.0,Mexico,0,0.0,4.0,4.0
84,2021.0,Finland,0,0.0,2.0,2.0
85,2021.0,Botswana,0,0.0,1.0,1.0
86,2021.0,Burkina Faso,0,0.0,1.0,1.0
87,2021.0,Côte d'Ivoire,0,0.0,1.0,1.0
88,2021.0,Ghana,0,0.0,1.0,1.0
89,2021.0,Grenada,0,0.0,1.0,1.0
90,2021.0,Kuwait,0,0.0,1.0,1.0
91,2021.0,Republic of Moldova,0,0.0,1.0,1.0
92,2021.0,Syrian Arab Republic,0,0.0,1.0,1.0
